"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","WEEK #15","2017-04-16","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #15","2017-04-16","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2017","WEEK #15","2017-04-16","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","5",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #16","2017-04-23","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","30",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #17","2017-04-30","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","29",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","42",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2017","WEEK #18","2017-05-07","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","34",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","20",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","61",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","31",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","8",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","15",""
"SURVEY","2017","WEEK #19","2017-05-14","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","3",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","67",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","59",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","48",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","59",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","79",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","52",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","38",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2017","WEEK #20","2017-05-21","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","21",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","80",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","82",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","64",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","81",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","89",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","76",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","66",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","74",""
"SURVEY","2017","WEEK #21","2017-05-28","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","47",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","90",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","90",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","76",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","92",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","94",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","91",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","86",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","90",""
"SURVEY","2017","WEEK #22","2017-06-04","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","68",""
"SURVEY","2017","WEEK #23","2017-06-11","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","96",""
"SURVEY","2017","WEEK #23","2017-06-11","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","96",""
"SURVEY","2017","WEEK #23","2017-06-11","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","88",""
"SURVEY","2017","WEEK #23","2017-06-11","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2017","WEEK #23","2017-06-11","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2017","WEEK #23","2017-06-11","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2017","WEEK #23","2017-06-11","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","94",""
"SURVEY","2017","WEEK #23","2017-06-11","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2017","WEEK #23","2017-06-11","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","84",""
"SURVEY","2017","WEEK #24","2017-06-18","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2017","WEEK #24","2017-06-18","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2017","WEEK #24","2017-06-18","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","95",""
"SURVEY","2017","WEEK #24","2017-06-18","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2017","WEEK #24","2017-06-18","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2017","WEEK #24","2017-06-18","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2017","WEEK #24","2017-06-18","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2017","WEEK #24","2017-06-18","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2017","WEEK #24","2017-06-18","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","94",""
"SURVEY","2017","WEEK #25","2017-06-25","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2017","WEEK #25","2017-06-25","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2017","WEEK #25","2017-06-25","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2017","WEEK #25","2017-06-25","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","98",""
"SURVEY","2017","WEEK #26","2017-07-02","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2016","WEEK #16","2016-04-24","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2016","WEEK #16","2016-04-24","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2016","WEEK #16","2016-04-24","STATE","KANSAS","20","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","22",""
"SURVEY","2016","WEEK #16","2016-04-24","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2016","WEEK #16","2016-04-24","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN - PROGRESS, MEASURED IN PCT EMERGED","TOTAL","NOT SPECIFIED","24",""
