"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2018","WEEK #13","2018-04-01","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #14","2018-04-08","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #14","2018-04-08","STATE","NORTH DAKOTA","38","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #14","2018-04-08","STATE","NORTH DAKOTA","38","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #14","2018-04-08","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #15","2018-04-15","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #15","2018-04-15","STATE","NORTH DAKOTA","38","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #15","2018-04-15","STATE","NORTH DAKOTA","38","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
"SURVEY","2018","WEEK #15","2018-04-15","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2018","WEEK #16","2018-04-22","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, SPRING, (EXCL DURUM) - PROGRESS, MEASURED IN PCT PLANTED","TOTAL","NOT SPECIFIED","0",""
